######################################################
# bottom wall
100.0	 16.0	60.0		0.00 	90.00 	0.00
100.0	  0.0	60.0		0.00 	90.00 	0.00
100.0	-16.0	60.0	 	0.00 	90.00 	0.00
100.0	-32.0	60.0	 	0.00 	90.00 	0.00
100.0	-48.0	60.0	 	0.00 	90.00 	0.00
100.0	-60.0	60.0	 	0.00 	90.00 	0.00
100.0	-72.0	60.0	 	0.00 	90.00 	0.00
100.0	-84.0	60.0	 	0.00 	90.00 	0.00
100.0	-96.0	60.0	 	0.00 	90.00 	0.00
100.0	 96.0	72.0		0.00 	90.00 	0.00
100.0	 84.0	72.0		0.00 	90.00 	0.00
100.0	 72.0	72.0		0.00 	90.00 	0.00
100.0	 60.0	72.0		0.00 	90.00 	0.00
100.0	 48.0	72.0		0.00 	90.00 	0.00
100.0	 32.0	72.0		0.00 	90.00 	0.00
100.0	 16.0	72.0		0.00 	90.00 	0.00
100.0	  0.0	72.0		0.00 	90.00 	0.00
100.0	-16.0	72.0	 	0.00 	90.00 	0.00
100.0	-32.0	72.0	 	0.00 	90.00 	0.00
100.0	-48.0	72.0	 	0.00 	90.00 	0.00
100.0	-60.0	72.0	 	0.00 	90.00 	0.00
100.0	-72.0	72.0	 	0.00 	90.00 	0.00
100.0	-84.0	72.0	 	0.00 	90.00 	0.00
100.0	-96.0	72.0	 	0.00 	90.00 	0.00
######################################################
# right side wall
-100.	 96.0	-32.0		0.00 	90.00 	0.00
-100.	 84.0	-32.0		0.00 	90.00 	0.00
-100.	 72.0	-32.0		0.00 	90.00 	0.00
-100.	 60.0	-32.0		0.00 	90.00 	0.00
-100.	 48.0	-32.0		0.00 	90.00 	0.00
-100.	 32.0	-32.0		0.00 	90.00 	0.00
-100.	 16.0	-32.0		0.00 	90.00 	0.00
-100.	  0.0	-32.0		0.00 	90.00 	0.00
-100.	-16.0	-32.0	 	0.00 	90.00 	0.00
-100.	-32.0	-32.0	 	0.00 	90.00 	0.00
-100.	-48.0	-32.0	 	0.00 	90.00 	0.00
-100.	-60.0	-32.0	 	0.00 	90.00 	0.00
-100.	-72.0	-32.0	 	0.00 	90.00 	0.00
-100.	-84.0	-32.0	 	0.00 	90.00 	0.00
-100.	-96.0	-32.0	 	0.00 	90.00 	0.00
-100.	 96.0	-16.0		0.00 	90.00 	0.00
-100.	 84.0	-16.0		0.00 	90.00 	0.00
-100.	 72.0	-16.0		0.00 	90.00 	0.00
-100.	 60.0	-16.0		0.00 	90.00 	0.00
-100.	 48.0	-16.0		0.00 	90.00 	0.00
-100.	 32.0	-16.0		0.00 	90.00 	0.00
-100.	 16.0	-16.0		0.00 	90.00 	0.00
-100.	  0.0	-16.0		0.00 	90.00 	0.00
-100.	-16.0	-16.0	 	0.00 	90.00 	0.00
-100.	-32.0	-16.0	 	0.00 	90.00 	0.00
-100.	-48.0	-16.0	 	0.00 	90.00 	0.00
-100.	-60.0	-16.0	 	0.00 	90.00 	0.00
-100.	-72.0	-16.0	 	0.00 	90.00 	0.00
-100.	-84.0	-16.0	 	0.00 	90.00 	0.00
-100.	-96.0	-16.0	 	0.00 	90.00 	0.00
-100.	 96.0	0.0		0.00 	90.00 	0.00
-100.	 84.0	0.0		0.00 	90.00 	0.00
-100.	 72.0	0.0		0.00 	90.00 	0.00
-100.	 60.0	0.0		0.00 	90.00 	0.00
-100.	 48.0	0.0		0.00 	90.00 	0.00
-100.	 32.0	0.0		0.00 	90.00 	0.00
-100.	 16.0	0.0		0.00 	90.00 	0.00
-100.	  0.0	0.0		0.00 	90.00 	0.00
-100.	-16.0	0.0	 	0.00 	90.00 	0.00
-100.	-32.0	0.0	 	0.00 	90.00 	0.00
-100.	-48.0	0.0	 	0.00 	90.00 	0.00
-100.	-60.0	0.0	 	0.00 	90.00 	0.00
-100.	-72.0	0.0	 	0.00 	90.00 	0.00
-100.	-84.0	0.0	 	0.00 	90.00 	0.00
-100.	-96.0	0.0	 	0.00 	90.00 	0.00
-100.	 96.0	16.0		0.00 	90.00 	0.00
-100.	 84.0	16.0		0.00 	90.00 	0.00
-100.	 72.0	16.0		0.00 	90.00 	0.00
-100.	 60.0	16.0		0.00 	90.00 	0.00
-100.	 48.0	16.0		0.00 	90.00 	0.00
-100.	 32.0	16.0		0.00 	90.00 	0.00
-100.	 16.0	16.0		0.00 	90.00 	0.00
-100.	  0.0	16.0		0.00 	90.00 	0.00
-100.	-16.0	16.0	 	0.00 	90.00 	0.00
-100.	-32.0	16.0	 	0.00 	90.00 	0.00
-100.	-48.0	16.0	 	0.00 	90.00 	0.00
-100.	-60.0	16.0	 	0.00 	90.00 	0.00
-100.	-72.0	16.0	 	0.00 	90.00 	0.00
-100.	-84.0	16.0	 	0.00 	90.00 	0.00
-100.	-96.0	16.0	 	0.00 	90.00 	0.00
-100.	 96.0	32.0		0.00 	90.00 	0.00
-100.	 84.0	32.0		0.00 	90.00 	0.00
-100.	 72.0	32.0		0.00 	90.00 	0.00
-100.	 60.0	32.0		0.00 	90.00 	0.00
-100.	 48.0	32.0		0.00 	90.00 	0.00
-100.	 32.0	32.0		0.00 	90.00 	0.00
-100.	 16.0	32.0		0.00 	90.00 	0.00
-100.	  0.0	32.0		0.00 	90.00 	0.00
-100.	-16.0	32.0	 	0.00 	90.00 	0.00
-100.	-32.0	32.0	 	0.00 	90.00 	0.00
-100.	-48.0	32.0	 	0.00 	90.00 	0.00
-100.	-60.0	32.0	 	0.00 	90.00 	0.00
-100.	-72.0	32.0	 	0.00 	90.00 	0.00
-100.	-84.0	32.0	 	0.00 	90.00 	0.00
-100.	-96.0	32.0	 	0.00 	90.00 	0.00
-100.	 96.0	48.0		0.00 	90.00 	0.00
-100.	 84.0	48.0		0.00 	90.00 	0.00
-100.	 72.0	48.0		0.00 	90.00 	0.00
-100.	 60.0	48.0		0.00 	90.00 	0.00
-100.	 48.0	48.0		0.00 	90.00 	0.00
-100.	 32.0	48.0		0.00 	90.00 	0.00
-100.	 16.0	48.0		0.00 	90.00 	0.00
-100.	  0.0	48.0		0.00 	90.00 	0.00
-100.	-16.0	48.0	 	0.00 	90.00 	0.00
-100.	-32.0	48.0	 	0.00 	90.00 	0.00
-100.	-48.0	48.0	 	0.00 	90.00 	0.00
-100.	-60.0	48.0	 	0.00 	90.00 	0.00
-100.	-72.0	48.0	 	0.00 	90.00 	0.00
-100.	-84.0	48.0	 	0.00 	90.00 	0.00
-100.	-96.0	48.0	 	0.00 	90.00 	0.00
-100.	 96.0	60.0		0.00 	90.00 	0.00
-100.	 84.0	60.0		0.00 	90.00 	0.00
-100.	 72.0	60.0		0.00 	90.00 	0.00
-100.	 60.0	60.0		0.00 	90.00 	0.00
-100.	 48.0	60.0		0.00 	90.00 	0.00
-100.	 32.0	60.0		0.00 	90.00 	0.00
-100.	 16.0	60.0		0.00 	90.00 	0.00
-100.	  0.0	60.0		0.00 	90.00 	0.00
-100.	-16.0	60.0	 	0.00 	90.00 	0.00
-100.	-32.0	60.0	 	0.00 	90.00 	0.00
-100.	-48.0	60.0	 	0.00 	90.00 	0.00
-100.	-60.0	60.0	 	0.00 	90.00 	0.00
-100.	-72.0	60.0	 	0.00 	90.00 	0.00
-100.	-84.0	60.0	 	0.00 	90.00 	0.00
-100.	-96.0	60.0	 	0.00 	90.00 	0.00
-100.	 96.0	72.0		0.00 	90.00 	0.00
-100.	 84.0	72.0		0.00 	90.00 	0.00
-100.	 72.0	72.0		0.00 	90.00 	0.00
-100.	 60.0	72.0		0.00 	90.00 	0.00
-100.	 48.0	72.0		0.00 	90.00 	0.00
-100.	 32.0	72.0		0.00 	90.00 	0.00
-100.	 16.0	72.0		0.00 	90.00 	0.00
-100.	  0.0	72.0		0.00 	90.00 	0.00
-100.	-16.0	72.0	 	0.00 	90.00 	0.00
-100.	-32.0	72.0	 	0.00 	90.00 	0.00
-100.	-48.0	72.0	 	0.00 	90.00 	0.00
-100.	-60.0	72.0	 	0.00 	90.00 	0.00
-100.	-72.0	72.0	 	0.00 	90.00 	0.00
-100.	-84.0	72.0	 	0.00 	90.00 	0.00
-100.	-96.0	72.0	 	0.00 	90.00 	0.00
